VENDOR_CODE,VENDOR_NAME,VENDOR_TYPE,DATE_SUBMITTED,DATE_COMPLETED
154005,"168 MARKETING CORPORATION","STORE CONSIGNOR","2022-07-26 10:07:23","2024-02-13 14:30:15"
010171,"A LE PAUL INC",OUTRIGHT,"2022-07-18 11:03:42","2022-08-24 14:09:27"
014197,"A.K.S. INDUSTRIES","STORE CONSIGNOR","2023-06-14 15:14:23","2023-07-26 14:08:03"
010488,"ADVANCE PAPER CORPORATION",OUTRIGHT,"2022-07-18 13:00:11","2023-03-15 15:05:38"
260213,"ALLANAE PRINTSHOP & PAPER PRODUCTS CORPORATION",OUTRIGHT,"2022-07-19 08:37:07","2022-08-18 14:43:54"
260323,"AMAZON PRINTING & GEN MDSE CORP",OUTRIGHT,"2022-08-02 15:17:31","2022-11-03 15:07:22"
014247,"APRICA PRODUCTS PHILIPPINES INC","STORE CONSIGNOR","2023-01-03 18:36:21","2023-01-16 16:05:34"
014299,"ARCP TRADING","STORE CONSIGNOR","2022-07-19 08:17:52","2022-10-13 15:07:57"
024184,"BABYBAMBOO ENTERPRISES","STORE CONSIGNOR","2022-08-06 14:30:50","2022-09-23 14:01:10"
024225,"BEANSPROUT LIFESTYLE MARKETING CORPORATION","STORE CONSIGNOR","2023-11-30 18:21:15","2023-12-12 14:51:39"
020541,"BELMAX TRADING",OUTRIGHT,"2022-08-31 10:56:15","2022-09-23 15:22:56"
020117,"BEST RUBBER CORPORATION",OUTRIGHT,"2022-07-28 11:21:18","2024-05-20 09:14:27"
020533,"BISING TRADING POST",OUTRIGHT,"2022-10-11 15:29:34","2022-11-08 14:46:27"
020524,"BNK MARVGOLD ENTERPRISES",OUTRIGHT,"2022-07-26 18:49:02","2022-08-15 13:57:31"
034138,"CDC MANUFACTURING CORP","STORE CONSIGNOR","2022-08-24 16:05:36","2022-10-03 15:03:02"
034082,"CEBU OVERSEA HARDWARE CO., INC.","STORE CONSIGNOR","2022-10-06 07:50:09","2024-04-30 16:49:41"
034253,"COBALTBLISS CORPORATION","STORE CONSIGNOR","2022-08-30 14:35:29","2022-11-11 15:18:58"
034102,"CONQUEROR INTERNATIONAL INC","STORE CONSIGNOR","2022-08-08 13:22:27","2023-04-05 14:16:33"
030450,"CONQUEST PHILS. INC.",OUTRIGHT,"2022-08-05 13:06:08","2022-10-21 14:23:19"
030529,"CONSOLIDATED PAPER PRODUCTS, INC.",OUTRIGHT,"2022-08-30 10:11:59","2023-05-15 14:19:00"
