VENDOR_CODE,VENDOR_NAME,VENDOR_TYPE,DEPT
154012,"128 DREAM FOUNTAIN CORPORATION","STORE CONSIGNOR","MEN'S SHOES,MEN'S SHOES DS"
200057,"13 P M ENTERPRISES",OUTRIGHT,TOYS
194178,"1770 GARMENTS CORP","STORE CONSIGNOR","MEN'S WEAR,WOMEN'S WEAR 1,MEN'S WEAR DS,WOMEN'S WEAR 1 DS"
200152,"21ST CENTURY TRADING",OUTRIGHT,"MEN'S SHOES,WOMEN'S SHOES,KIDS' SHOES"
204209,"24 CONCEPTS SPECIALIST INC","STORE CONSIGNOR",TOYS
204220,"2L.O.G. INC","STORE CONSIGNOR","KIDS' ACCESSORIES,TOYS,KIDS' ACCESSORIES DS"
204172,"3C DISTRIBUTORS INTERNATIONAL INC","STORE CONSIGNOR",KITCHENWARE
200188,"3M PHILIPPINES INC",OUTRIGHT,"STATIONERY,WATSONS"
060164,"4D AND E ENTERPRISE",OUTRIGHT,LUGGAGE
060150,"4-R EXPORT/IMPORT",OUTRIGHT,"WOMEN'S WEAR 2"
194272,"7 CASTLES INC","STORE CONSIGNOR",KULTURA
050275,"8 COLORS ENTERPRISES INC",OUTRIGHT,"BABIES ACCS & FURN,WATSONS"
260342,"A B SOBERANO INTERNATIONAL CORP",OUTRIGHT,KULTURA
014270,"A&R FASHION HOUSE CORPORATION","STORE CONSIGNOR","WOMEN'S WEAR 1,WOMEN'S WEAR 1 DS"
260304,"A.G. CRAFTS EXPORT",OUTRIGHT,KULTURA
014311,"A.L. AMIZADE MARKETING, INC.","STORE CONSIGNOR","WOMEN'S SHOES,WOMEN'S SHOES DS"
010533,"A.N.C. (SUMMA) TRDG CORP",OUTRIGHT,WATSONS
010839,"AA ALUMINUM SUPPLY  INC",OUTRIGHT,HARDWARE
260293,"AAA PIG & DRAGON INC",OUTRIGHT,"KIDS' WEAR - GIRLS,KIDS' WEAR - BOYS"
260130,"ABBIE TRADING",OUTRIGHT,"MEN'S WEAR,WOMEN'S WEAR 1,KIDS' WEAR - GIRLS,GIRLS TEENS' WEAR,WOMEN'S WEAR 3"
014277,"ABC DECOR CENTER","STORE CONSIGNOR","OUR HOME"
014264,"ABELARDO LAZO'S CREATION CO","STORE CONSIGNOR","WOMEN'S WEAR 3,WOMEN'S WEAR 3 DS"
010088,"ABENES SHELLCRAFT",OUTRIGHT,KULTURA
014011,"ABLE MUSIC INTERNATIONAL INCORPORATED","STORE CONSIGNOR","MUSIC N VIDEO"
260406,"ABS-CBN CORPORATION",OUTRIGHT,"BOYS TEENS' WEAR"
014292,"ABS-CBN FILM PRODUCTIONS, INC.","STORE CONSIGNOR","MUSIC N VIDEO,STATIONERY"
260268,"ABUNDANCIA TRADING IMPORT AND EXPORT",OUTRIGHT,"WOMEN'S WEAR 3"
014018,"ABUNDANT APPAREL INC","STORE CONSIGNOR","GIRLS TEENS' WEAR,GIRLS' TEEN WEAR DS"
014243,"ACCENTI FASHION HOUSE INC","STORE CONSIGNOR","WOMEN'S WEAR 1,WOMEN'S WEAR 3,WOMEN'S WEAR 1 DS,WOMEN'S WEAR 3 DS"
260305,"ACCM FURNITURE",OUTRIGHT,"OUR HOME"
014229,"ACENTO COLLECCION INCORPORATED","STORE CONSIGNOR",KULTURA
260273,"ACQUISITIONS INDUSTRIAL CORPORATION",OUTRIGHT,"BABIES ACCS & FURN,OUR HOME"
260229,"ACRO-TEAM INC",OUTRIGHT,HARDWARE
010752,"ACTION HOUSE INTERNATIONAL",OUTRIGHT,"STATIONERY,SNACKS"
260253,"ADALIA DIVINAGRACIA CRAFTY SOUVENIR SHOP",OUTRIGHT,KULTURA
260292,"ADAM ESLI LZ ENTERPRISE",OUTRIGHT,SNACKS
010962,"ADECS INTERNATIONAL CORPORATION",OUTRIGHT,STATIONERY
